file,title,meta_description,canonical,og_title,og_description,og_url,og_image,og_image_exists_local,twitter_card,twitter_title,twitter_description,twitter_image
"airport-transfer-en.html","Private Guadalajara Airport Transfer 24/7 | Xalisco Trips","Private airport transfer in Guadalajara (GDL) — 24/7 service, late-night arrivals, fixed fare, bilingual driver and meet & greet. Book via WhatsApp.","https://xaliscotrips.lat/airport-transfer-en","Private Guadalajara Airport Transfer 24/7 | Xalisco Trips","Private airport transfer in Guadalajara (GDL) — 24/7 service, late-night arrivals, fixed fare, bilingual driver and meet & greet. Book via WhatsApp.","https://xaliscotrips.lat/airport-transfer-en","https://xaliscotrips.lat/img/destinos/aeropuerto.webp","yes","summary_large_image","Private Guadalajara Airport Transfer 24/7 | Xalisco Trips","Private airport transfer in Guadalajara (GDL) — 24/7 service, late-night arrivals, fixed fare, bilingual driver and meet & greet. Book via WhatsApp.","https://xaliscotrips.lat/img/destinos/aeropuerto.webp"
"airport-transfer.html","Traslado Privado al Aeropuerto GDL 24/7 | Xalisco Trips","Traslado privado al aeropuerto de Guadalajara (GDL) — servicio 24/7, tarifa fija, chofer bilingüe y meet & greet. Reserva por WhatsApp hoy mismo.","https://xaliscotrips.lat/airport-transfer","Traslado Privado al Aeropuerto GDL 24/7 | Xalisco Trips","Traslado privado al aeropuerto de Guadalajara (GDL) — servicio 24/7, tarifa fija, chofer bilingüe y meet & greet. Reserva por WhatsApp hoy mismo.","https://xaliscotrips.lat/airport-transfer","https://xaliscotrips.lat/img/destinos/aeropuerto.webp","yes","summary_large_image","Traslado Privado al Aeropuerto GDL 24/7 | Xalisco Trips","Traslado privado al aeropuerto de Guadalajara (GDL) — servicio 24/7, tarifa fija, chofer bilingüe y meet & greet. Reserva por WhatsApp hoy mismo.","https://xaliscotrips.lat/img/destinos/aeropuerto.webp"
"blog\excursiones-desde-guadalajara\index.html","6 Excursiones desde Guadalajara en 2026 | Xalisco Trips","Descubre las mejores excursiones de un día desde Guadalajara: Tequila, Guachimontones, Chapala, Tonalá, Tlaquepaque y Mazamitla con guía privado certificado.","https://xaliscotrips.lat/blog/excursiones-desde-guadalajara/","Las 6 Mejores Excursiones desde Guadalajara (2026) | Xalisco Trips","Tequila, Guachimontones, Chapala, Tonalá, Tlaquepaque y Mazamitla con guía privado certificado desde Guadalajara.","https://xaliscotrips.lat/blog/excursiones-desde-guadalajara/","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Las 6 Mejores Excursiones desde Guadalajara (2026) | Xalisco Trips","Tequila, Guachimontones, Chapala, Tonalá, Tlaquepaque y Mazamitla con guía privado certificado desde Guadalajara.","https://xaliscotrips.lat/img/hero/portada-jalisco.webp"
"blog\index.html","Blog de Viajes y Excursiones de Guadalajara | Xalisco Trips","Guías y recomendaciones de viaje desde Guadalajara para descubrir Jalisco con Xalisco Trips. Excursiones, rutas y consejos locales para planificar tu visita.","https://xaliscotrips.lat/blog/","Blog de Viajes — Xalisco Trips","Guías y recomendaciones para explorar Jalisco desde Guadalajara con Xalisco Trips.","https://xaliscotrips.lat/blog/","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Blog de Viajes — Xalisco Trips","Guías y recomendaciones para explorar Jalisco desde Guadalajara con Xalisco Trips.","https://xaliscotrips.lat/img/hero/portada-jalisco.webp"
"chapala-tonala-en.html","Chapala + Tonalá Tour from Guadalajara | Xalisco Trips","Private Chapala + Tonalá tour from Guadalajara. Artisan market, Masks Museum & Lake Chapala riviera. Transport + guide included. 9-11 hour flexible itinerary.","https://xaliscotrips.lat/chapala-tonala-en","Chapala + Tonalá Tour from Guadalajara | Xalisco Trips","Private Chapala + Tonalá tour from Guadalajara. Artisan market, Masks Museum & Lake Chapala riviera. Transport + guide included. 9-11 hour flexible itinerary.","https://xaliscotrips.lat/chapala-tonala-en","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Chapala + Tonalá Tour from Guadalajara | Xalisco Trips","Private Chapala + Tonalá tour from Guadalajara. Artisan market, Masks Museum & Lake Chapala riviera. Transport + guide included. 9-11 hour flexible itinerary.","https://xaliscotrips.lat/img/destinos/chapala1.webp"
"chapala-tonala.html","Tour Chapala + Tonalá desde Guadalajara | Xalisco Trips","Tour privado Chapala + Tonalá desde Guadalajara. Mercado artesanal, Museo de Máscaras y malecón de Chapala. Transporte y guía incluidos. Reserva por WhatsApp.","https://xaliscotrips.lat/chapala-tonala","Tour Chapala + Tonalá desde Guadalajara | Xalisco Trips","Tour privado Chapala + Tonalá desde Guadalajara. Mercado artesanal, Museo de Máscaras y malecón de Chapala. Transporte y guía incluidos. Reserva por WhatsApp.","https://xaliscotrips.lat/chapala-tonala","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Tour Chapala + Tonalá desde Guadalajara | Xalisco Trips","Tour privado Chapala + Tonalá desde Guadalajara. Mercado artesanal, Museo de Máscaras y malecón de Chapala. Transporte y guía incluidos. Reserva por WhatsApp.","https://xaliscotrips.lat/img/destinos/chapala1.webp"
"en\blog\best-day-trips-from-guadalajara\index.html","6 Best Day Trips from Guadalajara in 2026 | Xalisco Trips","Best day trips from Guadalajara: Tequila, Guachimontones, Chapala, Tonalá, Tlaquepaque & Mazamitla with a private certified bilingual guide.","https://xaliscotrips.lat/en/blog/best-day-trips-from-guadalajara/","6 Best Day Trips from Guadalajara (2026 Guide) | Xalisco Trips","Tequila, Guachimontones, Chapala, Tonalá, Tlaquepaque and Mazamitla with a private certified bilingual guide from Guadalajara.","https://xaliscotrips.lat/en/blog/best-day-trips-from-guadalajara/","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","6 Best Day Trips from Guadalajara (2026 Guide) | Xalisco Trips","Tequila, Guachimontones, Chapala, Tonalá, Tlaquepaque and Mazamitla with a private certified bilingual guide from Guadalajara.","https://xaliscotrips.lat/img/hero/portada-jalisco.webp"
"en\blog\index.html","Travel Blog and Day Trips Guadalajara | Xalisco Trips","Travel guides and local tips for day trips from Guadalajara, Jalisco. Tours, routes and planning advice from Xalisco Trips to help you plan your visit.","https://xaliscotrips.lat/en/blog/","Travel Blog — Xalisco Trips","Travel guides and local tips for exploring Jalisco from Guadalajara with Xalisco Trips.","https://xaliscotrips.lat/en/blog/","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Travel Blog — Xalisco Trips","Travel guides and local tips for exploring Jalisco from Guadalajara with Xalisco Trips.","https://xaliscotrips.lat/img/hero/portada-jalisco.webp"
"foodie-tour-en.html","Guadalajara Food Tour | Street Food Crawl | Xalisco Trips","Private Guadalajara food tour with birria, torta ahogada and tejuino stands. Local market crawl, guide included, from $50 USD per person. Not for vegans.","https://xaliscotrips.lat/foodie-tour-en","Guadalajara Food Tour | Street Food Crawl | Xalisco Trips","Private Guadalajara food tour with birria, torta ahogada and tejuino stands. Local market crawl, guide included, from $50 USD per person. Not for vegans.","https://xaliscotrips.lat/foodie-tour-en","https://xaliscotrips.lat/img/destinos/foodie.webp","yes","summary_large_image","Guadalajara Food Tour | Street Food Crawl | Xalisco Trips","Private Guadalajara food tour with birria, torta ahogada and tejuino stands. Local market crawl, guide included, from $50 USD per person. Not for vegans.","https://xaliscotrips.lat/img/destinos/foodie.webp"
"foodie-tour.html","Tour Gastronómico Tapatío | Comida Callejera | Xalisco Trips","Tour gastronómico privado en Guadalajara con birria, torta ahogada y tejuino. Recorrido por mercados locales, guía incluido y desde $50 USD por persona.","https://xaliscotrips.lat/foodie-tour","Tour Gastronómico Tapatío | Comida Callejera | Xalisco Trips","Tour gastronómico privado en Guadalajara con birria, torta ahogada y tejuino. Recorrido por mercados locales, guía incluido y desde $50 USD por persona.","https://xaliscotrips.lat/foodie-tour","https://xaliscotrips.lat/img/destinos/foodie.webp","yes","summary_large_image","Tour Gastronómico Tapatío | Comida Callejera | Xalisco Trips","Tour gastronómico privado en Guadalajara con birria, torta ahogada y tejuino. Recorrido por mercados locales, guía incluido y desde $50 USD por persona.","https://xaliscotrips.lat/img/destinos/foodie.webp"
"gracias.html","Xalisco Trips | Confirmación de pago y siguientes pasos","Confirmación de pago de Xalisco Trips. Revisa los siguientes pasos, completa tu registro o contacta por WhatsApp para coordinar tu tour y resolver dudas.","https://xaliscotrips.lat/gracias","Xalisco Trips | Confirmación de pago","Confirmación de pago de Xalisco Trips. Revisa los siguientes pasos, completa tu registro o contacta por WhatsApp para coordinar tu tour.","https://xaliscotrips.lat/gracias","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Xalisco Trips | Confirmación de pago","Confirmación de pago de Xalisco Trips. Revisa los siguientes pasos, completa tu registro o contacta por WhatsApp para coordinar tu tour y resolver dudas.","https://xaliscotrips.lat/img/hero/portada-jalisco.webp"
"guachimontones-en.html","Private Guachimontones Tour from Guadalajara | Xalisco Trips","Private tour to Guachimontones from Guadalajara. Circular pyramids, museum and valley views. Certified bilingual guide and door-to-door pickup.","https://xaliscotrips.lat/guachimontones-en","Private Guachimontones Tour from Guadalajara | Xalisco Trips","Private tour to Guachimontones from Guadalajara. Circular pyramids, museum and valley views. Certified bilingual guide and door-to-door pickup.","https://xaliscotrips.lat/guachimontones-en","https://xaliscotrips.lat/img/destinos/Guachimontones.webp","yes","summary_large_image","Private Guachimontones Tour from Guadalajara | Xalisco Trips","Private tour to Guachimontones from Guadalajara. Circular pyramids, museum and valley views. Certified bilingual guide and door-to-door pickup.","https://xaliscotrips.lat/img/destinos/Guachimontones.webp"
"guachimontones.html","Tour Guachimontones desde Guadalajara | Xalisco Trips","Tour privado a Guachimontones desde Guadalajara. Pirámides circulares, museo y vistas del valle. Guía bilingüe certificado y transporte puerta a puerta.","https://xaliscotrips.lat/guachimontones","Tour Guachimontones desde Guadalajara | Xalisco Trips","Tour privado a Guachimontones desde Guadalajara. Pirámides circulares, museo y vistas del valle. Guía bilingüe certificado y transporte puerta a puerta.","https://xaliscotrips.lat/guachimontones","https://xaliscotrips.lat/img/destinos/Guachimontones.webp","yes","summary_large_image","Tour Guachimontones desde Guadalajara | Xalisco Trips","Tour privado a Guachimontones desde Guadalajara. Pirámides circulares, museo y vistas del valle. Guía bilingüe certificado y transporte puerta a puerta.","https://xaliscotrips.lat/img/destinos/Guachimontones.webp"
"index-en.html","Private Tours in Guadalajara & Jalisco | Xalisco Trips","Certified private tours in Guadalajara, Tequila, Chapala, Tlaquepaque and Mazamitla. English-speaking local guide, hotel pickup and WhatsApp booking.","https://xaliscotrips.lat/index-en","Private Tours in Guadalajara & Jalisco | Xalisco Trips","Certified private tours in Guadalajara, Tequila, Chapala, Tlaquepaque and Mazamitla. English-speaking local guide, hotel pickup and WhatsApp booking.","https://xaliscotrips.lat/index-en","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Private Tours in Guadalajara & Jalisco | Xalisco Trips","Certified private tours in Guadalajara, Tequila, Chapala, Tlaquepaque and Mazamitla. English-speaking local guide, hotel pickup and WhatsApp booking.","https://xaliscotrips.lat/img/hero/portada-jalisco.webp"
"index.html","Tours Privados en Guadalajara y Jalisco | Xalisco Trips","Tours privados en Guadalajara con guía certificado Sectur. Tequila, Chapala, Guachimontones y más. Transporte desde $600 MXN. Respuesta en 15 min por WhatsApp.","https://xaliscotrips.lat/","Tours Privados en Guadalajara y Jalisco | Xalisco Trips","Tours privados en Guadalajara con guía certificado Sectur. Tequila, Chapala, Guachimontones y más. Transporte desde $600 MXN. Respuesta en 15 min por WhatsApp.","https://xaliscotrips.lat/","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Tours Privados en Guadalajara y Jalisco | Xalisco Trips","Tours privados en Guadalajara con guía certificado Sectur. Tequila, Chapala, Guachimontones y más. Transporte desde $600 MXN. Respuesta en 15 min por WhatsApp.","https://xaliscotrips.lat/img/hero/portada-jalisco.webp"
"mazamitla-en.html","Mazamitla Private Tour from Guadalajara | Xalisco Trips","Explore Mazamitla's pine forests and markets on a private bilingual day tour from Guadalajara. Small groups, hotel pickup included. Book via WhatsApp today.","https://xaliscotrips.lat/mazamitla-en","Mazamitla Private Tour from Guadalajara | Xalisco Trips","Explore Mazamitla","https://xaliscotrips.lat/mazamitla-en","https://xaliscotrips.lat/img/destinos/mazamitla.webp","yes","summary_large_image","Mazamitla Private Tour from Guadalajara | Xalisco Trips","Explore Mazamitla's pine forests and markets on a private bilingual day tour from Guadalajara. Small groups, hotel pickup included. Book via WhatsApp today.","https://xaliscotrips.lat/img/destinos/mazamitla.webp"
"mazamitla.html","Mazamitla Private Tour from Guadalajara | Xalisco Trips","Tour privado a Mazamitla, Jalisco. Bosques de pino, cascadas y Pueblo Mágico. Transporte, guía certificado y hotel pickup incluidos. Reserva por WhatsApp.","https://xaliscotrips.lat/mazamitla","Mazamitla Private Tour from Guadalajara | Xalisco Trips","Tour privado a Mazamitla, pueblo mágico montañoso a 2,200 metros. Cascadas, tirolesas, cabalgatas, bosques de pinos y aire fresco montañoso. 8-10 horas, guía local certificado. Reserva por WhatsApp.","https://xaliscotrips.lat/mazamitla","https://xaliscotrips.lat/img/destinos/mazamitla.webp","yes","summary_large_image","Mazamitla Private Tour from Guadalajara | Xalisco Trips","Tour privado a Mazamitla, pueblo mágico montañoso a 2,200 metros. Cascadas, tirolesas, cabalgatas, bosques de pinos y aire fresco montañoso. 8-10 horas, guía local certificado. Reserva por WhatsApp.","https://xaliscotrips.lat/img/destinos/mazamitla.webp"
"tequila-en.html","Tequila Jalisco Tour from Guadalajara | Xalisco Trips","Private bilingual tour to Tequila, Jalisco. Visit a distillery, taste agave spirits and explore the historic town center. Daily departures from Guadalajara.","https://xaliscotrips.lat/tequila-en","Tequila Jalisco Tour from Guadalajara | Xalisco Trips","Private bilingual tour to Tequila, Jalisco. Visit a distillery, taste agave spirits and explore the historic town center. Daily departures from Guadalajara.","https://xaliscotrips.lat/tequila-en","https://xaliscotrips.lat/img/hero/portada-jalisco.webp","yes","summary_large_image","Tequila Jalisco Tour from Guadalajara | Xalisco Trips","Private bilingual tour to Tequila, Jalisco. Visit a distillery, taste agave spirits and explore the historic town center. Daily departures from Guadalajara.","https://xaliscotrips.lat/img/hero/portada-jalisco.webp"
